S_NO,Instance_Id,Instance_Type,Architecture,LaunchTime,Privat_Ip
1,i-0c88b604a47844e14,t2.micro,x86_64,2020-06-05,172.31.46.123
2,i-01dd9dae87e37ff69,t2.micro,x86_64,2020-06-05,172.31.41.128
